name,address,zip,place,country,subdivision
Gitzbüchel Lutzenberg,Gitzbüchel 278,9426,Lutzenberg,CH,AR
Bild Walzenhausen,Bild 287,9428,Walzenhausen,CH,AR
MZA/Dorf Walzenhausen,Dorf,9428,Walzenhausen,CH,AR
Gütli Walzenhausen,Gütli 181,9428,Walzenhausen,CH,AR
Wilen Walzenhausen,Wilen 396,9428,Walzenhausen,CH,AR
Dorf Reute,Dorf 19,9411,Reute AR,CH,AR
Kantonsschule Trogen,Kantonsschulstrasse 20-25,9043,Trogen,CH,AR
Berufsbildungszentrum Herisau,Waisenhausstrasse 6,9100,Herisau,CH,AR
Schulheim Rosenhügel Urnäsch,Tüfenbergstrasse 24,9107,Urnäsch,CH,AR
Schule im Lindenhof Herisau,Gossauerstrasse 59,9100,Herisau,CH,AR
Schule Roth-Haus Teufen,Rothhusstrasse 682,9053,Teufen AR,CH,AR
tipiti Gesamtschule Trogen,Schopfacker 16,9043,Trogen,CH,AR
tipiti  Heiden,Freihofstrasse 5,9410,Heiden,CH,AR
